Layer, Type, Ni, inW, inH, No, outW, outH, Ni/G, dataflowType, preFetch, preFetchAlign, procSize, inPlaneSize, dmaFreq, dmaFreqWt, kernelFreq, In-Read-memSpace, In-Read-accessor, In-Read-pitch, In-Read-width, In-Read-height, In-Read-size, In-Read-accessOffset, In-Read-baseAddress, In-Write-memSpace, In-Write-accessor, In-Write-pitch, In-Write-width, In-Write-height, In-Write-size, In-Write-accessOffset, In-Write-baseAddress, Out-Read-memSpace, Out-Read-accessor, Out-Read-pitch, Out-Read-width, Out-Read-height, Out-Read-size, Out-Read-accessOffset, Out-Read-baseAddress, Out-Write-memSpace, Out-Write-accessor, Out-Write-pitch, Out-Write-width, Out-Write-height, Out-Write-size, Out-Write-accessOffset, Out-Write-baseAddress, Wt-Read-memSpace, Wt-Read-accessor, Wt-Read-pitch, Wt-Read-width, Wt-Read-height, Wt-Read-size, Wt-Read-accessOffset, Wt-Read-baseAddress, Wt-Write-memSpace, Wt-Write-accessor, Wt-Write-pitch, Wt-Write-width, Wt-Write-height, Wt-Write-size, Wt-Write-accessOffset, Wt-Write-baseAddress, Wt-Oneshot-memSpace, Wt-Oneshot-accessor, Wt-Oneshot-pitch, Wt-Oneshot-width, Wt-Oneshot-height, Wt-Oneshot-size, Wt-Oneshot-accessOffset, Wt-Oneshot-baseAddress, 
 0,     Data, 32, 20, 15, 32, 20, 15, 32, FRAME, 0, 0, 1200, 1200, 1, 1, 1,,,,,,,,, L2, DMA, 1200, 1200, 2, 2432, 0, 0, ,,,,,,,, DDR, CPU, 1200, 1200, 32, 39424, 0, 0, ,,,,,,,, L2, CPU, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 1, DataConvert, 32, 20, 15, 32, 20, 15, 32,  COL, 0, 0, 1200, 1200, 1, 1, 1,,,,,,,,, L2, DMA, 1216, 1216, 32, 38912, 0, 0, ,,,,,,,, MSMC, CPU, 832, 716, 32, 26752, 44, 54, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 2,     Conv, 32, 20, 15, 64, 20, 15, 32, ROW_L, 88, 128, 588, 716, 1, 1, 1,,,,,,,,, L2, DMA, 832, 832, 32, 26624, 0, 0, ,,,,,,,, MSMC, CPU, 832, 716, 64, 53376, 44, 68d4, ,,,,,,,, L2, DMA_ONCE, 704, 578, 64, 45056, 0, 33000, ,,,,,,,, 
 3,     Conv, 64, 20, 15, 64, 20, 15, 64, ROW_L, 88, 128, 588, 716, 1, 1, 1,,,,,,,,, L2, DMA, 832, 832, 64, 53248, 0, 0, MSMC, CPU, 716, 0, 64, 91648, 0, 13900, DDR, DMA, 1920, 716, 64, 123904, 44, 54, ,,,,,,,, L2, DMA_ONCE, 1216, 1154, 64, 77824, 0, 20000, ,,,,,,,, 
 6,     Data, 64, 20, 15, 0, 0, 0, 64, FRAME, 0, 0, 315, 315, 1, 1, 1,,,,,,,,, L2, DMA, 0, 358, 2, 0, 0, 0, ,,,,,,,, DDR, CPU, 1200, 0, 0, 39424, 0, 0, ,,,,,,,, L2, CPU, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 4,     Conv, 32, 20, 15, 64, 20, 15, 32, ROW_L, 0, 0, 630, 630, 1, 1, 1,,,,,,,,, L2, DMA, 704, 704, 32, 22528, 0, 0, MSMC, CPU, 630, 0, 64, 80640, 0, 6880, DDR, DMA, 1920, 716, 64, 123904, 44, 54, ,,,,,,,, L2, DMA_ONCE, 192, 66, 64, 12288, 0, 3e000, ,,,,,,,, 
 5,     Data, 64, 20, 15, 0, 0, 0, 64, FRAME, 0, 0, 315, 315, 1, 1, 1,,,,,,,,, L2, DMA, 0, 358, 2, 0, 0, 0, ,,,,,,,, DDR, CPU, 1200, 0, 0, 39424, 0, 0, ,,,,,,,, L2, CPU, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
