Layer, Type, Ni, inW, inH, No, outW, outH, Ni/G, dataflowType, preFetch, preFetchAlign, procSize, inPlaneSize, dmaFreq, dmaFreqWt, kernelFreq, In-Read-memSpace, In-Read-accessor, In-Read-pitch, In-Read-width, In-Read-height, In-Read-size, In-Read-accessOffset, In-Read-baseAddress, In-Write-memSpace, In-Write-accessor, In-Write-pitch, In-Write-width, In-Write-height, In-Write-size, In-Write-accessOffset, In-Write-baseAddress, Out-Read-memSpace, Out-Read-accessor, Out-Read-pitch, Out-Read-width, Out-Read-height, Out-Read-size, Out-Read-accessOffset, Out-Read-baseAddress, Out-Write-memSpace, Out-Write-accessor, Out-Write-pitch, Out-Write-width, Out-Write-height, Out-Write-size, Out-Write-accessOffset, Out-Write-baseAddress, Wt-Read-memSpace, Wt-Read-accessor, Wt-Read-pitch, Wt-Read-width, Wt-Read-height, Wt-Read-size, Wt-Read-accessOffset, Wt-Read-baseAddress, Wt-Write-memSpace, Wt-Write-accessor, Wt-Write-pitch, Wt-Write-width, Wt-Write-height, Wt-Write-size, Wt-Write-accessOffset, Wt-Write-baseAddress, Wt-Oneshot-memSpace, Wt-Oneshot-accessor, Wt-Oneshot-pitch, Wt-Oneshot-width, Wt-Oneshot-height, Wt-Oneshot-size, Wt-Oneshot-accessOffset, Wt-Oneshot-baseAddress, 
 0,     Data, 32, 80, 60, 32, 80, 60, 32, FRAME, 0, 0, 19200, 19200, 1, 1, 1,,,,,,,,, L2, DMA, 19200, 19200, 2, 38400, 0, 0, ,,,,,,,, DDR, CPU, 19200, 19200, 32, 615424, 0, 0, ,,,,,,,, L2, CPU, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 1, DataConvert, 32, 80, 60, 32, 80, 60, 32,  COL, 0, 0, 19200, 19200, 4, 1, 4,,,,,,,,, L2, DMA, 19264, 19264, 16, 308224, 0, 0, ,,,,,,,, MSMC, CPU, 9664, 9600, 32, 309376, 0, 0, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 2, BatchNorm, 32, 80, 60, 32, 80, 60, 32,  COL, 0, 0, 9600, 9600, 1, 1, 1,,,,,,,,, L2, DMA, 9664, 9664, 32, 309248, 0, 0, MSMC, CPU, 9600, 0, 32, 307200, 0, 4b880, DDR, DMA, 9600, 9600, 32, 308224, 0, 0, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 3,     Data, 32, 80, 60, 0, 0, 0, 32, FRAME, 0, 0, 4800, 4800, 1, 1, 1,,,,,,,,, L2, DMA, 0, 4800, 2, 0, 0, 0, ,,,,,,,, DDR, CPU, 19200, 0, 0, 615424, 0, 0, ,,,,,,,, L2, CPU, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
