Layer, Type, Ni, inW, inH, No, outW, outH, Ni/G, dataflowType, preFetch, preFetchAlign, procSize, inPlaneSize, dmaFreq, dmaFreqWt, kernelFreq, In-Read-memSpace, In-Read-accessor, In-Read-pitch, In-Read-width, In-Read-height, In-Read-size, In-Read-accessOffset, In-Read-baseAddress, In-Write-memSpace, In-Write-accessor, In-Write-pitch, In-Write-width, In-Write-height, In-Write-size, In-Write-accessOffset, In-Write-baseAddress, Out-Read-memSpace, Out-Read-accessor, Out-Read-pitch, Out-Read-width, Out-Read-height, Out-Read-size, Out-Read-accessOffset, Out-Read-baseAddress, Out-Write-memSpace, Out-Write-accessor, Out-Write-pitch, Out-Write-width, Out-Write-height, Out-Write-size, Out-Write-accessOffset, Out-Write-baseAddress, Wt-Read-memSpace, Wt-Read-accessor, Wt-Read-pitch, Wt-Read-width, Wt-Read-height, Wt-Read-size, Wt-Read-accessOffset, Wt-Read-baseAddress, Wt-Write-memSpace, Wt-Write-accessor, Wt-Write-pitch, Wt-Write-width, Wt-Write-height, Wt-Write-size, Wt-Write-accessOffset, Wt-Write-baseAddress, Wt-Oneshot-memSpace, Wt-Oneshot-accessor, Wt-Oneshot-pitch, Wt-Oneshot-width, Wt-Oneshot-height, Wt-Oneshot-size, Wt-Oneshot-accessOffset, Wt-Oneshot-baseAddress, 
 0,     Data, 8, 320, 240, 8, 320, 240, 8, FRAME, 0, 0, 307200, 307200, 1, 1, 1,,,,,,,,, MSMC, DMA, 307200, 307200, 2, 614400, 0, 0, ,,,,,,,, DDR, CPU, 307200, 307200, 8, 2458624, 0, 0, ,,,,,,,, L2, CPU, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 1, DataConvert, 8, 320, 240, 8, 320, 240, 8,  COL, 0, 0, 153600, 307200, 16, 1, 16,,,,,,,,, L2, DMA, 307200, 307200, 1, 307200, 0, 0, ,,,,,,,, MSMC, CPU, 155366, 155366, 8, 1243136, 644, 7c, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 2,     Conv, 8, 320, 240, 16, 320, 240, 8, ROW_L, 1288, 1344, 20096, 155366, 8, 1, 8,,,,,,,,, L2, DMA, 41536, 41536, 8, 452864, 0, 0, ,,,,,,,, MSMC, CPU, 155456, 155366, 16, 2487424, 644, 12f87c, ,,,,,,,, L2, DMA, 192, 146, 16, 3072, 0, 6e900, MSMC, DMA_ONCE, 192, 192, 16, 3072, 0, 3d6080, 
 3,     Conv, 16, 320, 240, 16, 320, 240, 16, ROW_L, 1288, 1344, 8960, 155366, 18, 1, 18,,,,,,,,, L2, DMA, 19264, 19264, 16, 451584, 0, 0, MSMC, CPU, 8960, 0, 16, 286720, 0, 38ec80, DDR, DMA, 170240, 155366, 16, 2724864, 644, 7c, ,,,,,,,, L2, DMA, 320, 290, 16, 5120, 0, 6e400, MSMC, DMA_ONCE, 320, 320, 16, 5120, 0, 3d4c80, 
 6,     Data, 16, 320, 240, 0, 0, 0, 16, FRAME, 0, 0, 77040, 77040, 1, 1, 1,,,,,,,,, L2, DMA, 0, 77683, 2, 0, 0, 0, ,,,,,,,, DDR, CPU, 307200, 0, 0, 2458624, 0, 0, ,,,,,,,, L2, CPU, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 4,     Conv, 8, 320, 240, 16, 320, 240, 8, ROW_L, 0, 0, 16384, 154080, 10, 1, 10,,,,,,,,, L2, DMA, 32832, 32832, 8, 393728, 0, 0, MSMC, CPU, 16384, 0, 16, 524288, 0, 12f800, DDR, DMA, 180224, 155366, 16, 2884608, 644, 7c, ,,,,,,,, L2, DMA, 18, 18, 16, 384, 0, 60200, MSMC, DMA_ONCE, 18, 18, 16, 384, 0, 3d6c80, 
 5,     Data, 16, 320, 240, 0, 0, 0, 16, FRAME, 0, 0, 77040, 77040, 1, 1, 1,,,,,,,,, L2, DMA, 0, 77683, 2, 0, 0, 0, ,,,,,,,, DDR, CPU, 307200, 0, 0, 2458624, 0, 0, ,,,,,,,, L2, CPU, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
