Layer, Type, Ni, inW, inH, No, outW, outH, Ni/G, dataflowType, preFetch, preFetchAlign, procSize, inPlaneSize, dmaFreq, dmaFreqWt, kernelFreq, In-Read-memSpace, In-Read-accessor, In-Read-pitch, In-Read-width, In-Read-height, In-Read-size, In-Read-accessOffset, In-Read-baseAddress, In-Write-memSpace, In-Write-accessor, In-Write-pitch, In-Write-width, In-Write-height, In-Write-size, In-Write-accessOffset, In-Write-baseAddress, Out-Read-memSpace, Out-Read-accessor, Out-Read-pitch, Out-Read-width, Out-Read-height, Out-Read-size, Out-Read-accessOffset, Out-Read-baseAddress, Out-Write-memSpace, Out-Write-accessor, Out-Write-pitch, Out-Write-width, Out-Write-height, Out-Write-size, Out-Write-accessOffset, Out-Write-baseAddress, Wt-Read-memSpace, Wt-Read-accessor, Wt-Read-pitch, Wt-Read-width, Wt-Read-height, Wt-Read-size, Wt-Read-accessOffset, Wt-Read-baseAddress, Wt-Write-memSpace, Wt-Write-accessor, Wt-Write-pitch, Wt-Write-width, Wt-Write-height, Wt-Write-size, Wt-Write-accessOffset, Wt-Write-baseAddress, Wt-Oneshot-memSpace, Wt-Oneshot-accessor, Wt-Oneshot-pitch, Wt-Oneshot-width, Wt-Oneshot-height, Wt-Oneshot-size, Wt-Oneshot-accessOffset, Wt-Oneshot-baseAddress, 
 0,     Data, 3, 640, 480, 3, 640, 480, 3, FRAME, 0, 0, 1228800, 1228800, 1, 1, 1,,,,,,,,, MSMC, DMA, 1228800, 1228800, 2, 2457600, 0, 0, ,,,,,,,, DDR, CPU, 1228800, 1228800, 3, 3687424, 0, 0, ,,,,,,,, L2, CPU, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 1, DataConvert, 3, 640, 480, 3, 640, 480, 3,  COL, 0, 0, 204800, 1228800, 18, 1, 18,,,,,,,,, L2, DMA, 409600, 409600, 1, 409600, 0, 0, ,,,,,,,, MSMC, CPU, 617926, 617926, 3, 1853952, 1284, 7c, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 2,     Conv, 3, 640, 480, 8, 640, 480, 3, ROW_C, 2568, 2624, 62848, 617926, 10, 1, 10,,,,,,,,, L2, DMA, 131072, 131072, 3, 393216, 0, 0, ,,,,,,,, MSMC, CPU, 618048, 617926, 8, 4944512, 1284, 1c4a7c, ,,,,,,,, L2, DMA_ONCE, 56, 56, 8, 512, 0, 64600, ,,,,,,,, 
 3,     Conv, 8, 640, 480, 8, 640, 480, 8, ROW_C, 2568, 2624, 15040, 617926, 41, 1, 41,,,,,,,,, L2, DMA, 32768, 32768, 8, 262144, 0, 0, MSMC, CPU, 16326, 0, 8, 261248, 0, 0, DDR, DMA, 646720, 617926, 8, 5174784, 1284, 7c, ,,,,,,,, L2, DMA_ONCE, 192, 146, 8, 1536, 0, 64000, ,,,,,,,, 
 4,     Data, 8, 640, 480, 0, 0, 0, 8, FRAME, 0, 0, 307680, 307680, 1, 1, 1,,,,,,,,, MSMC, DMA, 0, 308963, 2, 0, 0, 0, ,,,,,,,, DDR, CPU, 1228800, 0, 0, 3687424, 0, 0, ,,,,,,,, L2, CPU, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
