Layer, Type, Ni, inW, inH, No, outW, outH, Ni/G, dataflowType, preFetch, preFetchAlign, procSize, inPlaneSize, dmaFreq, dmaFreqWt, kernelFreq, In-Read-memSpace, In-Read-accessor, In-Read-pitch, In-Read-width, In-Read-height, In-Read-size, In-Read-accessOffset, In-Read-baseAddress, In-Write-memSpace, In-Write-accessor, In-Write-pitch, In-Write-width, In-Write-height, In-Write-size, In-Write-accessOffset, In-Write-baseAddress, Out-Read-memSpace, Out-Read-accessor, Out-Read-pitch, Out-Read-width, Out-Read-height, Out-Read-size, Out-Read-accessOffset, Out-Read-baseAddress, Out-Write-memSpace, Out-Write-accessor, Out-Write-pitch, Out-Write-width, Out-Write-height, Out-Write-size, Out-Write-accessOffset, Out-Write-baseAddress, Wt-Read-memSpace, Wt-Read-accessor, Wt-Read-pitch, Wt-Read-width, Wt-Read-height, Wt-Read-size, Wt-Read-accessOffset, Wt-Read-baseAddress, Wt-Write-memSpace, Wt-Write-accessor, Wt-Write-pitch, Wt-Write-width, Wt-Write-height, Wt-Write-size, Wt-Write-accessOffset, Wt-Write-baseAddress, Wt-Oneshot-memSpace, Wt-Oneshot-accessor, Wt-Oneshot-pitch, Wt-Oneshot-width, Wt-Oneshot-height, Wt-Oneshot-size, Wt-Oneshot-accessOffset, Wt-Oneshot-baseAddress, 
 0,     Data, 16, 80, 60, 16, 80, 60, 16, FRAME, 0, 0, 19200, 19200, 1, 1, 1,,,,,,,,, L2, DMA, 19200, 19200, 2, 38400, 0, 0, ,,,,,,,, DDR, CPU, 19200, 19200, 16, 308224, 0, 0, ,,,,,,,, L2, CPU, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 1, DataConvert, 16, 80, 60, 16, 80, 60, 16,  COL, 0, 0, 19200, 19200, 1, 1, 1,,,,,,,,, L2, DMA, 19264, 19264, 16, 308224, 0, 0, ,,,,,,,, MSMC, CPU, 10048, 10046, 16, 160896, 164, 5c, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 2,     Conv, 16, 80, 60, 32, 80, 60, 16, ROW_L, 328, 384, 9662, 10046, 1, 1, 1,,,,,,,,, L2, DMA, 10048, 10048, 16, 160768, 0, 0, ,,,,,,,, MSMC, CPU, 10048, 10046, 32, 321664, 164, 274dc, ,,,,,,,, L2, DMA, 320, 290, 32, 10240, 0, 27400, MSMC, DMA_ONCE, 320, 320, 32, 10240, 0, e1500, 
 3,     Conv, 32, 80, 60, 32, 80, 60, 32, ROW_L, 328, 384, 6528, 10046, 2, 1, 2,,,,,,,,, L2, DMA, 13504, 13504, 32, 432128, 0, 0, MSMC, CPU, 6528, 0, 32, 417792, 0, 75d00, DDR, DMA, 19584, 10046, 32, 627712, 164, 5c, ,,,,,,,, L2, DMA, 704, 578, 32, 22528, 0, 69800, MSMC, DMA_ONCE, 704, 704, 32, 22528, 0, dbd00, 
 6,     Data, 32, 80, 60, 0, 0, 0, 32, FRAME, 0, 0, 4860, 4860, 1, 1, 1,,,,,,,,, L2, DMA, 0, 5023, 2, 0, 0, 0, ,,,,,,,, DDR, CPU, 19200, 0, 0, 308224, 0, 0, ,,,,,,,, L2, CPU, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 4,     Conv, 16, 80, 60, 32, 80, 60, 16, ROW_L, 0, 0, 8192, 9720, 2, 1, 2,,,,,,,,, L2, DMA, 16448, 16448, 16, 263168, 0, 0, MSMC, CPU, 8192, 0, 32, 524288, 0, 27480, DDR, DMA, 24576, 10046, 32, 787456, 164, 5c, ,,,,,,,, L2, DMA_ONCE, 34, 34, 32, 1152, 0, 6f000, ,,,,,,,, 
 5,     Data, 32, 80, 60, 0, 0, 0, 32, FRAME, 0, 0, 4860, 4860, 1, 1, 1,,,,,,,,, L2, DMA, 0, 5023, 2, 0, 0, 0, ,,,,,,,, DDR, CPU, 19200, 0, 0, 308224, 0, 0, ,,,,,,,, L2, CPU, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
